,mass A,
t,θr,
0.000,-80.58,
0.017,-80.57,
0.033,-80.56,
0.050,-80.58,
0.067,-80.64,
0.084,-80.79,
0.100,-80.96,
0.117,-81.17,
0.134,-81.44,
0.151,-81.75,
0.167,-82.09,
0.184,-82.50,
0.201,-82.95,
0.218,-83.42,
0.234,-83.94,
0.251,-84.49,
0.268,-85.07,
0.285,-85.69,
0.301,-86.32,
0.318,-86.98,
0.335,-87.65,
0.352,-88.33,
0.368,-89.04,
0.385,-89.77,
0.402,-90.44,
0.419,-91.15,
0.435,-91.86,
0.452,-92.55,
0.469,-93.21,
0.486,-93.91,
0.502,-94.56,
0.519,-95.21,
0.536,-95.83,
0.553,-96.40,
0.569,-96.97,
0.586,-97.47,
0.603,-97.99,
0.620,-98.45,
0.636,-98.86,
0.653,-99.26,
0.670,-99.61,
0.687,-99.92,
0.703,-100.2,
0.720,-100.4,
0.737,-100.6,
0.754,-100.7,
0.770,-100.8,
0.787,-100.8,
0.804,-100.8,
0.821,-100.8,
0.837,-100.7,
0.854,-100.5,
0.871,-100.3,
0.888,-100.1,
0.904,-99.82,
0.921,-99.51,
0.938,-99.16,
0.955,-98.79,
0.971,-98.35,
0.988,-97.90,
1.005,-97.42,
1.022,-96.91,
1.038,-96.37,
1.055,-95.83,
1.072,-95.23,
1.089,-94.63,
1.105,-94.02,
1.122,-93.39,
1.139,-92.75,
1.156,-92.10,
1.172,-91.45,
1.189,-90.79,
1.206,-90.13,
1.223,-89.47,
1.239,-88.83,
1.256,-88.21,
1.273,-87.56,
1.290,-86.96,
1.306,-86.36,
1.323,-85.79,
1.340,-85.24,
1.357,-84.72,
1.373,-84.23,
1.390,-83.76,
1.407,-83.33,
1.423,-82.91,
1.440,-82.56,
1.457,-82.22,
1.474,-81.93,
1.490,-81.67,
1.507,-81.48,
1.524,-81.31,
1.541,-81.18,
1.557,-81.12,
1.574,-81.09,
1.591,-81.11,
1.608,-81.18,
1.624,-81.28,
1.641,-81.43,
1.658,-81.62,
1.675,-81.86,
1.691,-82.14,
1.708,-82.46,
1.725,-82.85,
1.742,-83.27,
1.758,-83.72,
1.775,-84.20,
1.792,-84.71,
1.809,-85.26,
1.825,-85.82,
1.842,-86.39,
1.859,-87.02,
1.876,-87.64,
1.892,-88.29,
1.909,-88.94,
1.926,-90.29,
1.943,-90.96,
1.959,-91.62,
1.976,-92.29,
1.993,-92.95,
2.010,-93.60,
2.026,-94.24,
2.043,-94.84,
2.060,-95.43,
2.077,-96.01,
2.093,-96.55,
2.110,-97.07,
2.127,-97.56,
2.144,-98.01,
2.160,-98.44,
2.177,-98.82,
2.194,-99.17,
2.211,-99.49,
2.227,-99.72,
2.244,-99.96,
2.261,-100.1,
2.278,-100.3,
2.294,-100.3,
2.311,-100.4,
2.328,-100.4,
2.345,-100.3,
2.361,-100.2,
2.378,-100.1,
2.395,-99.92,
2.412,-99.69,
2.428,-99.42,
2.445,-99.12,
2.462,-98.79,
2.479,-98.42,
2.495,-98.00,
2.512,-97.57,
2.529,-97.11,
2.546,-96.62,
2.562,-96.10,
2.579,-95.58,
2.596,-95.00,
2.613,-94.44,
2.629,-93.83,
2.646,-93.23,
2.663,-92.63,
2.680,-92.00,
2.696,-91.37,
2.713,-90.74,
2.730,-90.11,
2.747,-89.47,
2.763,-88.87,
2.780,-88.25,
2.797,-87.67,
2.814,-87.09,
2.830,-86.52,
2.847,-85.95,
2.864,-85.44,
2.880,-84.94,
2.897,-84.47,
2.914,-84.02,
2.931,-83.61,
2.947,-83.24,
2.964,-82.88,
2.981,-82.57,
2.998,-82.30,
3.014,-82.06,
3.031,-81.87,
3.048,-81.72,
3.065,-81.62,
3.081,-81.55,
3.098,-81.52,
3.115,-81.52,
3.132,-81.57,
3.148,-81.69,
3.165,-81.85,
3.182,-82.05,
3.199,-82.28,
3.215,-82.55,
3.232,-82.86,
3.249,-83.21,
3.266,-83.58,
3.282,-84.00,
3.299,-84.46,
3.316,-84.92,
3.333,-85.45,
3.349,-85.98,
3.366,-86.55,
3.383,-87.12,
3.400,-87.73,
3.416,-88.35,
3.433,-88.97,
3.450,-89.60,
3.467,-90.25,
3.483,-90.88,
3.500,-91.52,
3.517,-92.14,
3.534,-92.76,
3.550,-93.38,
3.567,-93.99,
3.584,-94.59,
3.601,-95.15,
3.617,-95.71,
3.634,-96.23,
3.651,-96.73,
3.668,-97.19,
3.684,-97.63,
3.701,-98.03,
3.718,-98.41,
3.735,-98.75,
3.751,-99.04,
3.768,-99.31,
3.785,-99.52,
3.802,-99.70,
3.818,-99.83,
3.835,-99.89,
3.852,-99.94,
3.869,-99.93,
